Documents
WLAN
Disk drive
Tablet
Broadband
Unknown
Helpdesk
ATM
Smart card
Web application
ICS
Authentication
Other
Maintenance
Disk media
Mail
System admin
Log
POS controller
Gas terminal
Cashier
Flash drive
Former employee
Guard
Human resources
Proxy
Media
Call center
PED pad
Payment card
Customer
Remote access
SAN
Mobile phone
Tapes
Database
PBX
IDS
Payment switch
Mainframe
DNS
Kiosk
Directory
Desktop
Backup
Finance
End-user
LAN
Public WAN
POS terminal
Router or switch
Firewall
DHCP
Laptop
Executive
VM host
Telephone
Manager
Camera
Access reader
File
Partner
Private WAN
Peripheral
Code repository
Developer
